Last Name,First Name,Average Salary,Team,Position
Bush,Reggie,1500000,BUF,RB
Brown,Zach,1250000,BUF,ILB
Velasco,Fernando,965000,BUF,G
Biermann,Kroy,885000,BUF,OLB
Hawthorne,David,885000,BUF,ILB
Douzable,Leger,885000,BUF,DT
Alexander,Lorenzo,885000,BUF,OLB
White,Corey,840000,BUF,CB
Hankerson,Leonard,840000,BUF,WR
Dray,Jim,840000,BUF,TE
Herron,Dan,760000,BUF,RB
Lattimore,Jamari,760000,BUF,ILB
Moore,Matt,1775000,MIA,QB
Branch,Andre,2750000,MIA,DE
Culliver,Chris,2500000,MIA,CB
Urbik,Kraig,1250000,MIA,G
Jones,Jason,1535000,MIA,DE
Foster,Arian,1500000,MIA,RB
Bushrod,Jermon,1500000,MIA,G
Young,Sam,910000,MIA,LT
Paysinger,Spencer,840000,MIA,OLB
McClendon,Jacques,780000,MIA,C
Butler,Donald,760000,MIA,ILB
Johnson,James-Michael,760000,MIA,OLB
Gray,MarQueis,675000,MIA,TE
McClellin,Shea,3016667,NE,ILB
Long,Chris,2375000,NE,DE
Knighton,Terrance,1750000,NE,DT
Kuhn,Markus,1200000,NE,DT
Washington,Nate,1065000,NE,WR
Blount,LeGarrette,1000000,NE,RB
Brown,Donald,965000,NE,RB
Pascoe,Bear,885000,NE,TE
Biggers,E.J.,840000,NE,CB
Kearse,Frank,840000,NE,DE
Fitzpatrick,Ryan,12000000,NYJ,QB
Forte,Matt,4000000,NYJ,RB
Powell,Bilal,3750000,NYJ,RB
McLendon,Steve,3500000,NYJ,DT
Jenkins,Jarvis,3000000,NYJ,DE
Henderson,Erin,2000000,NYJ,ILB
Robinson,Khiry,1175000,NYJ,RB
Davis,Kellen,965000,NYJ,TE
Ijalana,Benjamin,840000,NYJ,LT
Carter,Bruce,840000,NYJ,ILB
Ross,Jeremy,810000,NYJ,WR
Pierce,Bernard,760000,NYJ,RB
Williams,Kyle,760000,NYJ,WR
Allen,Antonio,675000,NYJ,CB
Sudfeld,Zach,600000,NYJ,TE
Wallace,Mike,5750000,BAL,WR
Watson,Benjamin,3500000,BAL,TE
Powers,Jerraud,1750000,BAL,CB
Hester,Devin,1100000,BAL,WR
Conner,Kavell,760000,BAL,ILB
Ducasse,Vladimir,760000,BAL,G
Richardson,Trent,675000,BAL,RB
Jones,Adam-Pacman,6666667,CIN,CB
Rey,Vincent,3500000,CIN,ILB
LaFell,Brandon,2500000,CIN,WR
Sims,Pat,1150000,CIN,DT
Dansby,Karlos,2000000,CIN,ILB
Thompson,Brandon,840000,CIN,DT
GriffinIII,Robert,7500000,CLE,QB
Davis,Demario,4000000,CLE,ILB
Bailey,Alvin,2000000,CLE,G
Paea,Stephen,1900000,CLE,DE
Colquitt,Britton,1700000,CLE,P
Hayden,Nick,760000,CLE,DT
Tuggle,Justin,700000,CLE,ILB
Patterson,Eric,525000,CLE,CB
Green,Ladarius,5000000,PIT,TE
Harris,Ryan,1995000,PIT,LT
Gradkowski,Bruce,965000,PIT,QB
Johnson,Steven,840000,PIT,ILB
Johnson,David,760000,PIT,TE
Mathews,Ricardo,760000,PIT,DT
Osweiler,Brock,18000000,HOU,QB
Allen,Jeff,7000000,HOU,G
Miller,Lamar,6500000,HOU,RB
Bergstrom,Tony,2875000,HOU,C
Weeden,Brandon,2000000,HOU,QB
Smith,Antonio,985000,HOU,DE
Grimes,Johnathan,900000,HOU,RB
Carrington,Alex,760000,HOU,DT
Robinson,Patrick,4500000,IND,CB
Tolzien,Scott,1750000,IND,QB
Cromartie,Antonio,3000000,IND,CB
Ayers,Akeem,2600000,IND,OLB
Coffman,Chase,760000,IND,TE
Todman,Jordan,760000,IND,RB
Turbin,Robert,760000,IND,RB
Tyms,Brian,600000,IND,WR
Jones,Ben,4375000,TEN,C
Matthews,Rishard,5000000,TEN,WR
Woods,Al,3500000,TEN,DT
Johnson,Andre,1867500,TEN,WR
Spence,Sean,2500000,TEN,ILB
Bell,Byron,2250000,TEN,RT
Cassel,Matt,2000000,TEN,QB
Blake,Antwon,1500000,TEN,CB
Okung,Russell,10600000,DEN,LT
Stephenson,Donald,4666667,DEN,LT
Crick,Jared,2000000,DEN,DE
Davis,Austin,1250000,DEN,QB
Norwood,Jordan,880000,DEN,WR
Graham,Garrett,840000,DEN,TE
Melton,Henry,760000,DEN,DT
Winn,Billy,760000,DEN,DE
Watson,Dekoda,760000,DEN,OLB
Ross,Brandian,675000,DEN,CB
Schwartz,Mitchell,6600000,KC,RT
Johnson,Derrick,7000000,KC,ILB
Howard,Jaye,5000000,KC,DT
Zombo,Frank,1200000,KC,OLB
Foles,Nick,1750000,KC,QB
Fleming,Jamell,840000,KC,S
Mulumba,Andy,620000,KC,OLB
Osemele,Kelechi,11700000,OAK,G
Smith,Sean,9500000,OAK,CB
Irvin,Bruce,9250000,OAK,OLB
Penn,Donald,5950000,OAK,LT
Smith,Aldon,5750000,OAK,OLB
Holmes,Andre,2000000,OAK,WR
Moore,Damontre,675000,OAK,DE
Bates,Daren,675000,OAK,ILB
East,Andrew,450000,OAK,LS
Benjamin,Travis,6000000,SD,WR
Hayward,Casey,5100000,SD,CB
Mebane,Brandon,4500000,SD,DT
Slauson,Matt,1500000,SD,G
Hairston,Chris,1450000,SD,LT
Clemens,Kellen,1065000,SD,QB
Jones,James,885000,SD,WR
Cumberland,Jeff,840000,SD,TE
Square,Damion,725000,SD,DE
Thornton,Cedric,4250000,DAL,DE
Hanna,James,2750000,DAL,TE
Morris,Alfred,1750000,DAL,RB
Wilber,Kyle,1625000,DAL,OLB
Claiborne,Morris,3000000,DAL,CB
Sanchez,Mark,2000000,DAL,QB
Looney,Joe,837500,DAL,G
Dunbar,Lance,1250000,DAL,RB
Crawford,Jack,1100000,DAL,DE
Durant,Justin,965000,DAL,ILB
Brown,Charles,760000,DAL,LT
Thomas,Johsua,760000,DAL,CB
Vernon,Olivier,17000000,NYG,DE
Jenkins,Janoris,12500000,NYG,CB
Harrison,Damon,9250000,NYG,DT
Brown,Josh,2000000,NYG,K
Robinson,Keenan,2600000,NYG,ILB
Johnson,Will,1150000,NYG,FB
Hall,Leon,1500000,NYG,CB
