Last Name,First Name,Position,Average Salary,Team
Taylor,Tyrod,QB,18000000,BUF
Dareus,Marcell,DT,16095686,BUF
Glenn,Cordy,LT,12000000,BUF
Hughes,Jerry,OLB,9000000,BUF
McCoy,LeSean,RB,8000000,BUF
Clay,Charles,TE,7600000,BUF
Williams,Kyle,DT,7433333,BUF
Williams,Aaron,S,6501961,BUF
Wood,Eric,C,6350000,BUF
Incognito,Richie,G,5250000,BUF
Watkins,Sammy,WR,4983901,BUF
Graham,Corey,S,4075000,BUF
Gilmore,Stephon,CB,3021038,BUF
Lawson,Shaq,DE,2569744,BUF
Carpenter,Dan,K,2487500,BUF
Manuel,E.J.,QB,2221325,BUF
Robey,Nickell,CB,2050000,BUF
Easley,Marcus,WR,1750000,BUF
Harvin,Percy,WR,1740000,BUF
Mills,Jordan,RT,1671000,BUF
Bryant,Corbin,DT,1671000,BUF
Bush,Reggie,RB,1500000,BUF
Ragland,Reggie,ILB,1460343,BUF
Hunter,Justin,WR,1356037,BUF
Brown,Zach,ILB,1250000,BUF
Woods,Robert,WR,1216692,BUF
Kouandjio,Cyrus,RT,1202205,BUF
Darby,Ronald,CB,1142423,BUF
Sanborn,Garrison,LS,1111667,BUF
Lewis,Patrick,C,1100000,BUF
Felton,Jerome,FB,885000,BUF
Humber,Ramon,OLB,885000,BUF
Ihedigbo,James,S,885000,BUF
Douzable,Leger,DT,885000,BUF
Alexander,Lorenzo,OLB,885000,BUF
White,Corey,CB,840000,BUF
Blanton,Robert,S,840000,BUF
Anderson,Colt,S,840000,BUF
McCray,Lerentee,OLB,800000,BUF
Washington,Adolphus,DT,797324,BUF
Spikes,Brandon,ILB,760000,BUF
Tate,Brandon,WR,760000,BUF
Brown,Sergio,S,760000,BUF
Brown,Preston,ILB,751438,BUF
Miller,John,G,740030,BUF
Goodwin,Marquise,WR,713469,BUF
Jones,Cardale,QB,680848,BUF
Williams,Jonathan,RB,645229,BUF
Enemkpali,IK,OLB,645000,BUF
Listenbee,Kolby,WR,618233,BUF
Seymour,Kevon,CB,610089,BUF
Archer,Dri,RB,607000,BUF
Powell,Walter,WR,600000,BUF
Coleman,DeAndre,DT,600000,BUF
Gay,Jordan,K,600000,BUF
Roberson,Marcus,CB,600000,BUF
Gillislee,Mike,RB,600000,BUF
Thomas,Logan,TE,600000,BUF
Worthy,Jerel,DE,600000,BUF
Schmidt,Colton,P,600000,BUF
Dowling,Jonathan,S,570000,BUF
Annen,Blake,TE,570000,BUF
Henderson,Seantrel,RT,567720,BUF
Groy,Ryan,G,555000,BUF
Gragg,Chris,TE,554794,BUF
Meeks,Jonathan,S,550000,BUF
Lewis,Dezmin,WR,525000,BUF
Thomas,Phillip,S,495000,BUF
O'Leary,Nick,TE,480000,BUF
Tannehill,Ryan,QB,19250000,MIA
Suh,Ndamukong,DT,19062500,MIA
Maxwell,Byron,CB,10500000,MIA
Albert,Branden,LT,9400000,MIA
Pouncey,Mike,C,8950000,MIA
Williams,Mario,DE,8500000,MIA
Cameron,Jordan,TE,7500000,MIA
Wake,Cameron,DE,7500000,MIA
Jones,Reshad,S,7003000,MIA
Jordan,Dion,DE,5143077,MIA
Misi,Koa,OLB,4250000,MIA
Abdul-Quddus,Isa,S,4250000,MIA
Mitchell,Earl,DT,4000000,MIA
Tunsil,Laremy,T,3114413,MIA
Branch,Andre,DE,2750000,MIA
Parker,DeVante,WR,2719136,MIA
James,Ja'Wuan,RT,2107100,MIA
Moore,Matt,QB,1775000,MIA
Jones,Jason,DE,1535000,MIA
Howard,Xavien,CB,1532010,MIA
Bushrod,Jermon,G,1500000,MIA
Urbik,Kraig,G,1250000,MIA
Denney,John,LS,1150029,MIA
Phillips,Jordan,DT,1090727,MIA
Alonso,Kiko,ILB,1075100,MIA
Landry,Jarvis,WR,868728,MIA
Drake,Kenyan,RB,845315,MIA
Paysinger,Spencer,OLB,840000,MIA
Carroo,Leonte,WR,775097,MIA
Harris,Bryce,RT,760000,MIA
Chekwa,Chimdi,CB,760000,MIA
Young,Sam,LT,760000,MIA
Butler,Donald,ILB,760000,MIA
Thomas,Michael,S,675000,MIA
