Last Name,First Name,Position,Overall,Salary,Team,Year,Projected Salary,Difference,Standard Difference,Percent Difference
Bush,Reggie,RB,74.0,1500.0,BUF,2016.0,870.734708333,629.265291667,-1.49466902889,-0.722683138325
Brown,Zach,ILB,82.0,1250.0,BUF,2016.0,4509.62258333,-3259.62258333,1.3743786089,0.722814941406
Velasco,Fernando,G,72.0,965.0,BUF,2016.0,1699.07343902,-734.073439024,0.472644925266,0.43204338445
Douzable,Leger,DT,68.0,885.0,BUF,2016.0,991.39885,-106.39885,0.106881841231,0.107321942122
Alexander,Lorenzo,OLB,72.0,885.0,BUF,2016.0,1645.171,-760.171,0.459571165504,0.462061998418
White,Corey,CB,71.0,840.0,BUF,2016.0,1264.04534667,-424.045346667,0.431787800605,0.335466878451
Hankerson,Leonard,WR,70.0,840.0,BUF,2016.0,1102.87663934,-262.876639344,0.305698303281,0.238355433388
Dray,Jim,TE,70.0,840.0,BUF,2016.0,900.530806452,-60.5308064516,0.12188572012,0.0672168081513
Lattimore,Jamari,ILB,70.0,760.0,BUF,2016.0,1253.98314286,-493.983142857,0.368474838371,0.39393124674
Moore,Matt,QB,69.0,1775.0,MIA,2016.0,1757.65360606,17.3463939394,-0.0122793627794,-0.00986906286858
Branch,Andre,DE,70.0,2750.0,MIA,2016.0,1452.00873171,1297.99126829,-1.03253211277,-0.893928004666
Urbik,Kraig,G,72.0,1250.0,MIA,2016.0,1699.07343902,-449.073439024,0.289143116674,0.264304902137
Jones,Jason,DE,77.0,1535.0,MIA,2016.0,3292.30362069,-1757.30362069,0.755944354983,0.533761105642
Foster,Arian,RB,81.0,1500.0,MIA,2016.0,2331.14752941,-831.147529412,0.45892903504,0.356540081194
Bushrod,Jermon,G,81.0,1500.0,MIA,2016.0,4326.66205,-2826.66205,0.92919733358,0.653312418981
Young,Sam,LT,70.0,910.0,MIA,2016.0,1176.58455556,-266.584555556,0.210434811909,0.226574923406
Paysinger,Spencer,OLB,70.0,840.0,MIA,2016.0,1182.30721053,-342.307210526,0.504363689772,0.289524759283
McClendon,Jacques,C,70.0,780.0,MIA,2016.0,1083.15262963,-303.15262963,0.392688169945,0.279879881502
Butler,Donald,ILB,73.0,760.0,MIA,2016.0,1584.5697,-824.5697,0.608182485688,0.520374521865
Johnson,James-Michael,OLB,72.0,760.0,MIA,2016.0,1645.171,-885.171,0.53514152492,0.538041942145
Gray,MarQueis,TE,69.0,675.0,MIA,2016.0,852.14159375,-177.14159375,0.36441169038,0.207878121487
McClellin,Shea,ILB,77.0,3016.667,NE,2016.0,2171.8645,844.8025,-0.454697577243,-0.388975693465
Long,Chris,DE,77.0,2375.0,NE,2016.0,3292.30362069,-917.30362069,0.394599137965,0.278620603193
Knighton,Terrance,DT,83.0,1750.0,NE,2016.0,5813.18493333,-4063.18493333,1.17102168995,0.698960205108
Kuhn,Markus,DT,67.0,1200.0,NE,2016.0,809.372820513,390.627179487,-0.936934624623,-0.482629475054
Washington,Nate,WR,73.0,1065.0,NE,2016.0,1358.91083929,-293.910839286,0.298394624386,0.216284123129
Blount,LeGarrette,RB,81.0,1000.0,NE,2016.0,2331.14752941,-1331.14752941,0.735010608286,0.571026720796
Brown,Donald,RB,76.0,965.0,NE,2016.0,1116.00728889,-151.007288889,0.187709096912,0.135310307014
Biggers,E.J.,CB,70.0,840.0,NE,2016.0,1091.941375,-251.941375,0.302604108435,0.230727931708
Kearse,Frank,DE,63.0,840.0,NE,2016.0,794.232292683,45.7677073171,-0.0453296002274,-0.0576250899626
Fitzpatrick,Ryan,QB,79.0,12000.0,NYJ,2016.0,13060.2818667,-1060.28186667,0.160158054052,0.0811836894097
Forte,Matt,RB,86.0,4000.0,NYJ,2016.0,4652.03961538,-652.039615385,0.245422548799,0.140162094327
Powell,Bilal,RB,78.0,3750.0,NYJ,2016.0,1601.84536585,2148.15463415,-1.59608725181,-1.34104994149
McLendon,Steve,DT,78.0,3500.0,NYJ,2016.0,3730.00829167,-230.008291667,0.0852431038281,0.0616642842807
Jenkins,Jarvis,DE,66.0,3000.0,NYJ,2016.0,967.52622,2032.47378,-1.77651818017,-2.10069116266
Henderson,Erin,ILB,75.0,2000.0,NYJ,2016.0,1802.63015,197.36985,-0.122950309458,-0.109489930588
Robinson,Khiry,RB,74.0,1175.0,NYJ,2016.0,870.734708333,304.265291667,-0.722709346985,-0.349435125021
Davis,Kellen,TE,69.0,965.0,NYJ,2016.0,852.14159375,112.85840625,-0.232169767272,-0.1324409078
Carter,Bruce,ILB,73.0,840.0,NYJ,2016.0,1584.5697,-744.5697,0.549176438225,0.46988762943
Ross,Jeremy,WR,66.0,810.0,NYJ,2016.0,750.166890909,59.8331090909,-0.0999767618833,-0.079759730556
Pierce,Bernard,RB,70.0,760.0,NYJ,2016.0,666.091959184,93.9080408163,-0.590095964194,-0.140983597717
Williams,Kyle,WR,82.0,760.0,NYJ,2016.0,4775.19426087,-4015.19426087,1.16322303528,0.840844171256
Allen,Antonio,CB,79.0,675.0,NYJ,2016.0,4304.68826471,-3629.68826471,1.05586718425,0.843194220233
Sudfeld,Zach,TE,70.0,600.0,NYJ,2016.0,900.530806452,-300.530806452,0.605153241958,0.333726291537
Wallace,Mike,WR,77.0,5750.0,BAL,2016.0,2839.56746341,2910.43253659,-1.31912706927,-1.02495629144
Watson,Benjamin,TE,81.0,3500.0,BAL,2016.0,3622.7102963,-122.710296296,0.0473620041299,0.0338725115342
Powers,Jerraud,CB,76.0,1750.0,BAL,2016.0,3044.83584444,-1294.83584444,0.490714320337,0.425256371967
Conner,Kavell,ILB,73.0,760.0,BAL,2016.0,1584.5697,-824.5697,0.608182485688,0.520374521865
Ducasse,Vladimir,G,74.0,760.0,BAL,2016.0,2111.71905882,-1351.71905882,0.754097021909,0.640103641237
Richardson,Trent,RB,72.0,675.0,BAL,2016.0,798.746903846,-123.746903846,0.386636360429,0.154926301749
Rey,Vincent,ILB,75.0,3500.0,CIN,2016.0,1802.63015,1697.36985,-1.05736589617,-0.94160737853
LaFell,Brandon,WR,77.0,2500.0,CIN,2016.0,2839.56746341,-339.567463415,0.153905863546,0.119584221115
Sims,Pat,DT,72.0,1150.0,CIN,2016.0,1789.1422,-639.1422,0.472035553839,0.357233874423
Dansby,Karlos,ILB,83.0,2000.0,CIN,2016.0,4567.15163636,-2567.15163636,1.07963157414,0.562090300643
Thompson,Brandon,DT,67.0,840.0,CIN,2016.0,809.372820513,30.6271794872,-0.0734604923133,-0.0378406325379
GriffinIII,Robert,QB,73.0,7500.0,CLE,2016.0,3076.40656,4423.59344,-1.16388353455,-1.43790924695
Davis,Demario,ILB,76.0,4000.0,CLE,2016.0,2001.92210811,1998.07789189,-1.15240463997,-0.998079737368
Bailey,Alvin,G,71.0,2000.0,CLE,2016.0,1560.28517778,439.714822222,-0.292077516109,-0.281816957877
Paea,Stephen,DE,75.0,1900.0,CLE,2016.0,2407.29521429,-507.295214286,0.282275355324,0.210732448299
Hayden,Nick,DT,62.0,760.0,CLE,2016.0,581.922304348,178.077695652,-1.35209016101,-0.306016274547
Tuggle,Justin,ILB,70.0,700.0,CLE,2016.0,1253.98314286,-553.983142857,0.413230394551,0.441778779892
Patterson,Eric,CB,61.0,525.0,CLE,2016.0,581.9005,-56.9005,0.560703024259,0.0977838994811
Green,Ladarius,TE,81.0,5000.0,PIT,2016.0,3622.7102963,1377.2897037,-0.531587019213,-0.38018212638
Harris,Ryan,LT,76.0,1995.0,PIT,2016.0,4607.28908333,-2612.28908333,0.668843474848,0.566990487483
Gradkowski,Bruce,QB,69.0,965.0,PIT,2016.0,1757.65360606,-792.653606061,0.561112656685,0.45097259399
Johnson,Steven,ILB,68.0,840.0,PIT,2016.0,1082.54176471,-242.541764706,0.1824203168,0.224048413293
Johnson,David,TE,83.0,760.0,PIT,2016.0,5163.82352941,-4403.82352941,1.92666574465,0.852822236145
Mathews,Ricardo,DT,69.0,760.0,PIT,2016.0,1147.05108889,-387.051088889,0.385306536224,0.337431429723
Osweiler,Brock,QB,77.0,18000.0,HOU,2016.0,10963.4225833,7036.57741667,-1.04528713832,-0.641823058737
Allen,Jeff,G,78.0,7000.0,HOU,2016.0,4329.68655,2670.31345,-1.00820554554,-0.616745212191
Miller,Lamar,RB,88.0,6500.0,HOU,2016.0,6529.8569,-29.8569,0.0087187355784,0.00457236666243
Bergstrom,Tony,C,69.0,2875.0,HOU,2016.0,1098.775375,1776.224625,-2.19329402223,-1.61654935614
Weeden,Brandon,QB,72.0,2000.0,HOU,2016.0,2784.85996429,-784.859964286,0.219702776862,0.281831034361
Robinson,Patrick,CB,78.0,4500.0,IND,2016.0,3926.5443,573.4557,-0.169192992032,-0.146045900972
Tolzien,Scott,QB,67.0,1750.0,IND,2016.0,1361.9918125,388.0081875,-0.397170911778,-0.284882907473
Ayers,Akeem,OLB,77.0,2600.0,IND,2016.0,2505.90966667,94.0903333333,-0.0490304492264,-0.037547376342
Coffman,Chase,TE,68.0,760.0,IND,2016.0,703.461518519,56.5384814815,-0.189117728377,-0.0803718184906
Todman,Jordan,RB,70.0,760.0,IND,2016.0,666.091959184,93.9080408163,-0.590095964194,-0.140983597717
Turbin,Robert,RB,75.0,760.0,IND,2016.0,952.53973913,-192.53973913,0.323749749465,0.202133025239
Jones,Ben,C,74.0,4375.0,TEN,2016.0,1498.590375,2876.409625,-2.314294083,-1.91941018239
Matthews,Rishard,WR,79.0,5000.0,TEN,2016.0,3772.19958824,1227.80041176,-0.406364073589,-0.325486598216
Woods,Al,DT,74.0,3500.0,TEN,2016.0,2007.06881081,1492.93118919,-1.13849135609,-0.743836574585
Johnson,Andre,WR,76.0,1867.5,TEN,2016.0,2494.60335556,-627.103355556,0.351317778105,0.251383994237
Spence,Sean,ILB,72.0,2500.0,TEN,2016.0,1562.70364865,937.296351351,-0.694127443726,-0.59979149096
Bell,Byron,RT,70.0,2250.0,TEN,2016.0,1338.78216,911.21784,-0.871813691564,-0.680631896081
Cassel,Matt,QB,70.0,2000.0,TEN,2016.0,2055.088,-55.088,0.032471589972,0.0268056647696
Blake,Antwon,CB,75.0,1500.0,TEN,2016.0,2830.61807547,-1330.61807547,0.534049811955,0.470080399402
Okung,Russell,LT,82.0,10600.0,DEN,2016.0,7377.20776923,3222.79223077,-1.0337694024,-0.436857999881
Stephenson,Donald,LT,72.0,4666.667,DEN,2016.0,1804.91381818,2861.75318182,-1.51147795535,-1.58553452968
Crick,Jared,DE,70.0,2000.0,DEN,2016.0,1452.00873171,547.991268293,-0.435918635087,-0.377402185212
Davis,Austin,QB,69.0,1250.0,DEN,2016.0,1757.65360606,-507.653606061,0.359363612799,0.288824603614
Norwood,Jordan,WR,70.0,880.0,DEN,2016.0,1102.87663934,-222.876639344,0.259182446407,0.202086644502
Graham,Garrett,TE,70.0,840.0,DEN,2016.0,900.530806452,-60.5308064516,0.12188572012,0.0672168081513
Winn,Billy,DE,67.0,760.0,DEN,2016.0,1213.22272549,-453.22272549,0.341366243249,0.373569268006
Watson,Dekoda,OLB,63.0,760.0,DEN,2016.0,651.788969697,108.211030303,-0.45188531995,-0.166021573445
