Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Carrying,Throw Power,Throw Accuracy,Injury,Stamina,Toughness,Trucking,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Play Action,Throw On The Run,
Derek Anderson,QB,70,56,58,65,56,68,60,95,75,90,90,95,19,74,71,70,65,42,
John Skelton,QB,69,72,75,68,74,58,62,96,71,88,85,75,50,76,73,72,44,69,
Max Hall,QB,68,66,68,45,63,63,63,79,81,96,91,65,33,87,73,63,70,48,
Richard Bartel,QB,62,62,65,64,65,54,65,87,71,88,85,71,33,72,69,67,56,54,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Jumping,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Route Running
Tim Hightower,HB,75,84,87,78,76,83,80,76,70,94,73,86,87,66,83,88,76,70,76
Beanie Wells,HB,73,88,82,79,82,66,54,83,78,82,86,75,90,68,78,99,75,80,50
Ryan Williams,HB,73,87,94,68,92,44,70,73,79,85,87,84,85,77,88,82,90,87,54
LaRod Stephens-Howling,HB,72,93,95,47,94,62,77,73,74,86,78,75,37,88,85,42,88,94,75
Jason Wright,HB,67,82,85,66,80,70,72,76,72,85,70,71,65,75,77,63,74,77,55
Alfonso Smith,HB,58,94,87,64,85,34,56,69,77,86,82,75,68,72,65,65,74,76,55
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Jumping,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Route Running
Reagan Mauia,FB,69,72,76,86,74,64,56,76,65,93,85,88,84,50,65,85,55,68,39
Anthony Sherman,FB,69,80,75,78,72,60,73,67,65,92,87,90,58,55,61,74,65,62,56
Nehemiah Broughton,FB,64,83,85,66,73,70,62,76,48,84,78,78,72,65,66,75,65,69,35
Charles Ali,FB,61,70,72,82,66,55,65,70,68,85,80,82,70,35,45,80,35,45,35
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Catching,Jumping,Injury,Stamina,Toughness,Elusiveness,Spin Move,Juke Pove,Spectacular Catch,Catch In Traffic,Route Running,,
Larry Fitzgerald,WR,96,87,89,76,93,95,98,99,95,99,97,54,85,87,98,95,98,,
Steve Breaston,WR,78,91,94,54,93,77,81,91,91,88,79,91,88,93,79,73,76,,
Early Doucet,WR,74,86,89,60,90,67,77,82,77,87,54,77,83,88,73,84,75,,
Andre Roberts,WR,66,91,90,45,92,51,75,84,95,89,75,88,82,87,71,78,67,,
Max Komar,WR,63,86,85,60,86,60,75,82,95,88,69,65,75,70,72,72,64,,
Isaiah Williams,WR,61,92,86,64,82,48,67,88,88,84,65,62,73,70,63,74,60,,
Stephen Williams,WR,61,88,83,58,84,52,76,93,90,82,74,66,59,66,78,65,59,,
DeMarco Sampson,WR,60,88,76,69,77,40,67,88,64,85,78,63,68,66,69,79,62,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Catching,Jumping,Injury,Stamina,Toughness,Elusiveness,Spin Move,Juke Pove,Spectacular Catch,Catch In Traffic,Route Running,,
Ben Patrick,TE,71,72,75,65,74,66,79,82,85,81,78,42,64,70,84,79,76,,
Stephen Spach,TE,70,69,73,73,68,77,73,65,84,87,82,20,50,50,61,74,70,,
Mike Leach,TE,68,71,72,69,67,84,62,49,87,79,75,45,50,55,59,72,64,,
Rob Housler,TE,66,85,91,64,86,50,78,82,89,85,55,65,74,68,76,81,52,,
Jim Dray,TE,62,72,75,70,74,62,66,69,87,84,77,35,70,65,63,65,54,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Run Block,Stamina,Pass Block,Toughness,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,,,,
Levi Brown,LT,70,63,80,91,57,69,86,70,77,84,85,86,77,83,68,,,,
D'Anthony Batiste,LT,60,48,55,90,48,62,84,65,78,75,62,88,72,79,64,,,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Run Block,Stamina,Pass Block,Toughness,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,,,,
Rex Hadnot,LG,72,57,67,87,54,68,84,74,78,85,83,84,74,78,67,,,,
Tom Pestock,LG,64,60,67,84,55,52,80,75,68,80,75,84,75,74,63,,,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Run Block,Stamina,Pass Block,Toughness,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,,,,
Lyle Sendlein,C,71,56,66,80,56,73,81,75,85,74,76,78,74,80,84,,,,
Ben Claxton,C,65,52,55,84,49,61,78,70,74,55,78,77,82,72,80,,,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Run Block,Stamina,Pass Block,Toughness,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,,,,
Deuce Lutui,RG,82,44,64,96,53,77,88,70,82,90,72,95,86,86,74,,,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Run Block,Stamina,Pass Block,Toughness,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,,,,
Brandon Keith,RT,77,66,78,87,63,66,83,55,80,70,80,77,82,85,81,,,,
Jeremy Bridges,RT,74,54,60,89,55,73,84,75,75,79,74,85,74,84,69,,,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Tackle,Jumping,Injury,Stamina,Toughness,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Hit Power,,
Bryan Robinson,DT,74,50,69,82,60,74,68,54,70,61,83,80,74,82,64,70,55,,
Dan Williams,DT,74,60,70,95,58,66,88,62,90,74,88,82,38,88,79,67,80,,
Gabe Watson,DT,69,49,65,93,49,63,74,45,86,60,81,84,49,85,50,60,52,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Tackle,Jumping,Injury,Stamina,Toughness,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Hit Power,,
Calais Campbell,LE,80,75,84,82,73,76,74,85,94,83,80,72,84,72,83,65,74,,
Kenny Iwebema,LE,66,67,75,84,70,66,77,65,88,64,75,71,62,73,70,53,75,,
Jeremy Navarre,LE,60,68,75,79,66,59,75,60,87,74,75,70,48,75,66,61,66,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Tackle,Jumping,Injury,Stamina,Toughness,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Hit Power,,
Darnell Dockett,RE,89,73,88,89,70,79,79,65,94,88,88,90,84,85,93,70,68,,
Alan Branch,RE,71,60,69,93,58,72,83,45,86,69,86,87,50,88,74,69,65,,
David Carter,RE,58,67,85,80,64,40,82,65,90,75,80,77,66,64,84,35,66,,
Keilen Dykes,RE,57,60,72,79,59,50,72,60,85,77,85,75,61,74,77,53,75,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Tackle,Injury,Stamina,Toughness,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Hit Power,Press
Clark Haggans,LOLB,78,72,82,78,72,85,84,83,88,77,79,60,84,79,85,52,50,80,62
Will Davis,LOLB,61,72,78,75,77,58,72,86,79,80,80,65,73,84,67,30,38,60,25
Cyril Obiozor,LOLB,59,74,82,68,73,57,69,87,83,72,78,62,70,75,62,34,45,74,40
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Tackle,Injury,Stamina,Toughness,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Hit Power,Press
Gerald Hayes,MLB,81,72,82,84,75,82,86,85,90,91,69,52,88,89,88,46,60,88,40
Paris Lenon,MLB,78,77,81,74,80,79,88,67,91,78,46,62,84,85,84,55,70,80,55
Daryl Washington,MLB,74,85,93,67,88,66,86,89,87,92,55,65,78,90,69,64,75,79,55
Quan Sturdivant,MLB,65,75,87,67,82,60,83,90,88,91,47,64,73,77,73,46,67,77,65
Reggie Walker,MLB,60,77,80,69,75,63,77,87,88,85,45,50,68,82,65,52,60,74,45
Pago Togafau,MLB,58,75,79,74,80,64,77,90,80,80,65,54,68,80,55,37,45,78,55
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Tackle,Injury,Stamina,Toughness,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Hit Power,Press
Joey Porter,ROLB,81,76,82,83,73,88,82,91,84,98,87,67,77,88,83,35,50,95,60
O'Brien Schofield,ROLB,70,79,87,77,75,63,79,69,84,80,68,87,72,86,66,40,47,85,40
Sam Acho,ROLB,64,82,84,68,75,48,76,95,84,82,78,54,82,89,73,36,45,76,35
Curtis Gatewood,ROLB,58,80,74,70,75,50,74,90,85,80,60,78,75,72,44,48,58,74,40
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Tackle,Jumping,Injury,Stamina,Toughness,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Hit Power,Press,
Kerry Rhodes,FS,88,84,87,64,85,87,75,90,95,95,85,69,85,88,58,85,80,33,
Rashad Johnson,FS,66,85,81,59,84,52,67,84,95,90,92,58,74,55,62,71,82,47,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Tackle,Jumping,Injury,Stamina,Toughness,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Hit Power,Press,
Adrian Wilson,SS,92,85,87,74,86,86,85,94,91,90,85,80,88,82,56,73,92,75,
Matt Ware,SS,73,83,89,59,80,65,65,88,88,90,85,67,78,63,69,79,62,58,
Hamza Abdullah,SS,69,79,84,68,80,62,68,80,90,88,72,56,84,62,58,65,75,50,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Tackle,Jumping,Injury,Stamina,Toughness,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Hit Power,Press,
Dominique Rodgers-Cromartie,CB,85,98,98,49,98,71,47,99,94,92,67,44,65,74,95,84,50,60,
Patrick Peterson,CB,82,97,93,67,96,60,67,93,97,97,82,68,80,68,89,82,72,90,
Greg Toler,CB,75,93,89,60,90,69,67,92,94,90,65,63,75,67,80,73,45,62,
Trumaine McBride,CB,71,86,91,55,90,72,48,87,94,92,79,39,77,66,78,74,52,55,
Michael Adams,CB,65,84,88,52,85,68,54,75,90,90,70,20,68,65,74,73,45,43,
Marshay Green,CB,61,85,90,47,87,45,46,88,92,86,65,44,65,56,76,69,45,60,
A.J. Jefferson,CB,55,89,88,48,85,27,58,91,85,75,66,45,50,33,76,65,42,77,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Kick Power,Kick Accuracy,Throw Power,Throw Accuracy,Injury,Stamina,Toughness,,,,,,
Jay Feely,K,89,72,82,52,69,86,91,92,22,16,82,84,60,,,,,,
,,,,,,,,,,,,,,,,,,,,
Name,Position,Overall,Speed,Acceleration,Strength,Agility,Awareness,Kick Power,Kick Accuracy,Throw Power,Throw Accuracy,Injury,Stamina,Toughness,,,,,,
Ben Graham,P,74,66,66,50,58,72,91,88,45,50,87,89,70,,,,,,
