Last Name,First Name,Average Salary,Team,Position
Williams,Chris,3287500,BUF,G
Orton,Kyle,5500000,BUF,QB
Chandler,Scott,2375000,BUF,TE
Rivers,Keith,2025000,BUF,OLB
Dixon,Anthony,1200000,BUF,RB
Spikes,Brandon,3000000,BUF,ILB
Wynn,Jarius,795000,BUF,OLB
Cohen,Landon,730000,BUF,DT
Sylvester,Stevenson,730000,BUF,ILB
Albert,Branden,9400000,MIA,LT
Mitchell,Earl,4000000,MIA,DT
Finnegan,Cortland,5500000,MIA,CB
Starks,Randy,5000000,MIA,DE
Smith,Shelley,2750000,MIA,G
Moreno,Knowshon,3000000,MIA,RB
Satele,Samson,2000000,MIA,C
Colledge,Daryn,2000000,MIA,G
Fox,Jason,795000,MIA,RT
Cone,Kevin,570000,MIA,WR
Edelman,Julian,4250000,NE,WR
Browner,Brandon,4116667,NE,CB
Revis,Darrelle,12000000,NE,CB
LaFell,Brandon,3000000,NE,WR
Wendell,Ryan,3625000,NE,C
Hoomanawanui,Michael,1200000,NE,TE
Fleming,Darius,540000,NE,OLB
Anderson,James,920000,NE,OLB
Tyms,Brian,495000,NE,WR
Decker,Eric,7250000,NYJ,WR
Giacomini,Breno,4500000,NYJ,RT
Johnson,Chris,4000000,NYJ,RB
Pace,Calvin,2375000,NYJ,OLB
Vick,Michael,4000000,NYJ,QB
Babin,Jason,1600000,NYJ,DE
Colon,Willie,2000000,NYJ,G
Douzable,Leger,1000000,NYJ,DT
McIntyre,Garrett,645000,NYJ,OLB
Monroe,Eugene,7500000,BAL,LT
Smith,Daryl,3400000,BAL,ILB
Jones,Jacoby,3000000,BAL,WR
Smith,Steve,3500000,BAL,WR
Daniels,Owen,1000000,BAL,TE
Ross,Aaron,855000,BAL,CB
Forsett,Justin,730000,BAL,RB
Cody,Terrence,730000,BAL,DT
Rackley,Will,570000,BAL,G
Campbell,Jason,1500000,CIN,QB
Smith,Alex,915000,CIN,TE
Svitek,Will,855000,CIN,LT
Newhouse,Marshall,805000,CIN,RT
Little,Greg,645000,CIN,WR
Dansby,Karlos,6000000,CLE,ILB
Tate,Ben,3100000,CLE,RB
Dray,Jim,1875000,CLE,TE
McQuistan,Paul,1500000,CLE,LT
Austin,Miles,2000000,CLE,WR
Leonhard,Jim,855000,CLE,S
Moore,Marlon,730000,CLE,WR
Thomas,Cam,2000000,PIT,DE
Blount,LeGarrette,1925000,PIT,RB
Wallace,Cody,1160000,PIT,C
Keisel,Brett,1500000,PIT,DE
Moore,Lance,1500000,PIT,WR
Whimper,Guy,920000,PIT,G
Warren,Greg,920000,PIT,LS
Heyward-Bey,Darrius,795000,PIT,WR
