Charles Clay,7600000,BUF,TE
Jerome Felton,2300000,BUF,FB
Marcus Easley,1750000,BUF,WR
Percy Harvin,6000000,BUF,WR
Tyrod Taylor,1116667,BUF,QB
Jarius Wynn,1100000,BUF,OLB
Alex Carrington,825000,BUF,DT
Ndamukong Suh,19062500,MIA,DT
Jordan Cameron,7500000,MIA,TE
Greg Jennings,4000000,MIA,WR
Brice McCain,2750000,MIA,CB
Matt Moore,2600000,MIA,QB
Jeff Linkenbach,795000,MIA,RT
Jacques McClendon,745000,MIA,C
Spencer Paysinger,745000,MIA,OLB
LaMichael James,680000,MIA,RB
Jabaal Sheard,5500000,NE,DE
Scott Chandler,2650000,NE,TE
Alan Branch,2150000,NE,DT
Robert McClain,1240000,NE,CB
Jonathan Freeny,1000000,NE,ILB
Dane Fletcher,825000,NE,ILB
Chimdi Chekwa,825000,NE,CB
Brandon Gibson,825000,NE,WR
Chris White,795000,NE,ILB
Dekoda Watson,745000,NE,OLB
Ryan Lindley,660000,NE,QB
Darrelle Revis,14024212,NYJ,CB
Antonio Cromartie,8000000,NYJ,CB
Buster Skrine,6250000,NYJ,CB
James Carpenter,4775000,NYJ,G
Tanner Purdum,905000,NYJ,LS
Stevan Ridley,1250000,NYJ,RB
Leger Douzable,1200000,NYJ,DT
Kellen Davis,950000,NYJ,TE
Stephen Bowen,950000,NYJ,DE
Corey Hilliard,950000,NYJ,RT
Willie Colon,950000,NYJ,G
Jamari Lattimore,825000,NYJ,ILB
Benjamin Ijalana,760000,NYJ,LT
Randy Bullock,660000,NYJ,K
Justin Forsett,3000000,BAL,RB
Kyle Arrington,2333333,BAL,CB
Chris Canty,2325000,BAL,DE
Lawrence Guy,1150000,BAL,DE
Matt Schaub,2000000,BAL,QB
Morgan Cox,825000,BAL,LS
Cassius Vaughn,795000,BAL,CB
Chris Carter,745000,BAL,OLB
Clint Boling,5200000,CIN,G
Michael Johnson,5000000,CIN,DE
A.J. Hawk,1625000,CIN,OLB
