Last Name,First Name,Average Salary,Team,Position,Age
Bush,Reggie,1500000,BUF,RB,31
Brown,Zach,1250000,BUF,ILB,27
Velasco,Fernando,965000,BUF,G,31
Biermann,Kroy,885000,BUF,OLB,31
Hawthorne,David,885000,BUF,ILB,31
Douzable,Leger,885000,BUF,DT,30
Alexander,Lorenzo,885000,BUF,OLB,33
White,Corey,840000,BUF,CB,26
Hankerson,Leonard,840000,BUF,WR,27
Dray,Jim,840000,BUF,TE,29
Herron,Dan,760000,BUF,RB,27
Lattimore,Jamari,760000,BUF,ILB,28
Moore,Matt,1775000,MIA,QB,32
Branch,Andre,2750000,MIA,DE,27
Culliver,Chris,2500000,MIA,CB,28
Urbik,Kraig,1250000,MIA,G,31
Jones,Jason,1535000,MIA,DE,30
Foster,Arian,1500000,MIA,RB,30
Bushrod,Jermon,1500000,MIA,G,32
Young,Sam,910000,MIA,LT,29
Paysinger,Spencer,840000,MIA,OLB,28
McClendon,Jacques,780000,MIA,C,29
Butler,Donald,760000,MIA,ILB,28
Johnson,James-Michael,760000,MIA,OLB,27
Gray,MarQueis,675000,MIA,TE,27
McClellin,Shea,3016667,NE,ILB,27
Long,Chris,2375000,NE,DE,31
Knighton,Terrance,1750000,NE,DT,30
Kuhn,Markus,1200000,NE,DT,30
Washington,Nate,1065000,NE,WR,33
Blount,LeGarrette,1000000,NE,RB,30
Brown,Donald,965000,NE,RB,29
Pascoe,Bear,885000,NE,TE,30
Biggers,E.J.,840000,NE,CB,29
Kearse,Frank,840000,NE,DE,28
Fitzpatrick,Ryan,12000000,NYJ,QB,34
Forte,Matt,4000000,NYJ,RB,31
Powell,Bilal,3750000,NYJ,RB,28
McLendon,Steve,3500000,NYJ,DT,30
Jenkins,Jarvis,3000000,NYJ,DE,28
Henderson,Erin,2000000,NYJ,ILB,30
Robinson,Khiry,1175000,NYJ,RB,26
Davis,Kellen,965000,NYJ,TE,31
Ijalana,Benjamin,840000,NYJ,LT,27
Carter,Bruce,840000,NYJ,ILB,28
Ross,Jeremy,810000,NYJ,WR,28
Pierce,Bernard,760000,NYJ,RB,26
Williams,Kyle,760000,NYJ,WR,28
Sudfeld,Zach,600000,NYJ,TE,27
Wallace,Mike,5750000,BAL,WR,30
Watson,Benjamin,3500000,BAL,TE,36
Powers,Jerraud,1750000,BAL,CB,29
Hester,Devin,1100000,BAL,WR,34
Conner,Kavell,760000,BAL,ILB,29
Ducasse,Vladimir,760000,BAL,G,29
Richardson,Trent,675000,BAL,RB,26
Jones,Adam-Pacman,6666667,CIN,CB,33
Rey,Vincent,3500000,CIN,ILB,29
LaFell,Brandon,2500000,CIN,WR,30
Sims,Pat,1150000,CIN,DT,31
Dansby,Karlos,2000000,CIN,ILB,35
Thompson,Brandon,840000,CIN,DT,27
GriffinIII,Robert,7500000,CLE,QB,26
Davis,Demario,4000000,CLE,ILB,27
