Last Name,First Name,Position,Overall,Salary,Team,Age,Year,Projected Salary,Difference,Standard Difference,Percent Difference
Bush,Reggie,RB,74,1500,BUF,31,2016,870.7347083,629.2652917,-1.494669029,-0.722683138
Brown,Zach,ILB,82,1250,BUF,27,2016,4509.622583,-3259.622583,1.374378609,0.722814941
Velasco,Fernando,G,72,965,BUF,31,2016,1699.073439,-734.073439,0.472644925,0.432043384
Douzable,Leger,DT,68,885,BUF,30,2016,991.39885,-106.39885,0.106881841,0.107321942
Alexander,Lorenzo,OLB,72,885,BUF,33,2016,1645.171,-760.171,0.459571166,0.462061998
White,Corey,CB,71,840,BUF,26,2016,1264.045347,-424.0453467,0.431787801,0.335466878
Hankerson,Leonard,WR,70,840,BUF,27,2016,1102.876639,-262.8766393,0.305698303,0.238355433
Dray,Jim,TE,70,840,BUF,29,2016,900.5308065,-60.53080645,0.12188572,0.067216808
Lattimore,Jamari,ILB,70,760,BUF,28,2016,1253.983143,-493.9831429,0.368474838,0.393931247
Moore,Matt,QB,69,1775,MIA,32,2016,1757.653606,17.34639394,-0.012279363,-0.009869063
Branch,Andre,DE,70,2750,MIA,27,2016,1452.008732,1297.991268,-1.032532113,-0.893928005
Urbik,Kraig,G,72,1250,MIA,31,2016,1699.073439,-449.073439,0.289143117,0.264304902
Jones,Jason,DE,77,1535,MIA,30,2016,3292.303621,-1757.303621,0.755944355,0.533761106
Foster,Arian,RB,81,1500,MIA,30,2016,2331.147529,-831.1475294,0.458929035,0.356540081
Bushrod,Jermon,G,81,1500,MIA,32,2016,4326.66205,-2826.66205,0.929197334,0.653312419
Young,Sam,LT,70,910,MIA,29,2016,1176.584556,-266.5845556,0.210434812,0.226574923
Paysinger,Spencer,OLB,70,840,MIA,28,2016,1182.307211,-342.3072105,0.50436369,0.289524759
McClendon,Jacques,C,70,780,MIA,29,2016,1083.15263,-303.1526296,0.39268817,0.279879882
Butler,Donald,ILB,73,760,MIA,28,2016,1584.5697,-824.5697,0.608182486,0.520374522
Johnson,James-Michael,OLB,72,760,MIA,27,2016,1645.171,-885.171,0.535141525,0.538041942
Gray,MarQueis,TE,69,675,MIA,27,2016,852.1415938,-177.1415938,0.36441169,0.207878121
McClellin,Shea,ILB,77,3016.667,NE,27,2016,2171.8645,844.8025,-0.454697577,-0.388975693
Long,Chris,DE,77,2375,NE,31,2016,3292.303621,-917.3036207,0.394599138,0.278620603
Knighton,Terrance,DT,83,1750,NE,30,2016,5813.184933,-4063.184933,1.17102169,0.698960205
Kuhn,Markus,DT,67,1200,NE,30,2016,809.3728205,390.6271795,-0.936934625,-0.482629475
Washington,Nate,WR,73,1065,NE,33,2016,1358.910839,-293.9108393,0.298394624,0.216284123
Blount,LeGarrette,RB,81,1000,NE,30,2016,2331.147529,-1331.147529,0.735010608,0.571026721
Brown,Donald,RB,76,965,NE,29,2016,1116.007289,-151.0072889,0.187709097,0.135310307
Biggers,E.J.,CB,70,840,NE,29,2016,1091.941375,-251.941375,0.302604108,0.230727932
Kearse,Frank,DE,63,840,NE,28,2016,794.2322927,45.76770732,-0.0453296,-0.05762509
Fitzpatrick,Ryan,QB,79,12000,NYJ,34,2016,13060.28187,-1060.281867,0.160158054,0.081183689
Forte,Matt,RB,86,4000,NYJ,31,2016,4652.039615,-652.0396154,0.245422549,0.140162094
Powell,Bilal,RB,78,3750,NYJ,28,2016,1601.845366,2148.154634,-1.596087252,-1.341049941
McLendon,Steve,DT,78,3500,NYJ,30,2016,3730.008292,-230.0082917,0.085243104,0.061664284
Jenkins,Jarvis,DE,66,3000,NYJ,28,2016,967.52622,2032.47378,-1.77651818,-2.100691163
Henderson,Erin,ILB,75,2000,NYJ,30,2016,1802.63015,197.36985,-0.122950309,-0.109489931
Robinson,Khiry,RB,74,1175,NYJ,26,2016,870.7347083,304.2652917,-0.722709347,-0.349435125
Davis,Kellen,TE,69,965,NYJ,31,2016,852.1415938,112.8584063,-0.232169767,-0.132440908
Carter,Bruce,ILB,73,840,NYJ,28,2016,1584.5697,-744.5697,0.549176438,0.469887629
Ross,Jeremy,WR,66,810,NYJ,28,2016,750.1668909,59.83310909,-0.099976762,-0.079759731
Pierce,Bernard,RB,70,760,NYJ,26,2016,666.0919592,93.90804082,-0.590095964,-0.140983598
Williams,Kyle,WR,82,760,NYJ,28,2016,4775.194261,-4015.194261,1.163223035,0.840844171
Sudfeld,Zach,TE,70,600,NYJ,27,2016,900.5308065,-300.5308065,0.605153242,0.333726292
Wallace,Mike,WR,77,5750,BAL,30,2016,2839.567463,2910.432537,-1.319127069,-1.024956291
Watson,Benjamin,TE,81,3500,BAL,36,2016,3622.710296,-122.7102963,0.047362004,0.033872512
Powers,Jerraud,CB,76,1750,BAL,29,2016,3044.835844,-1294.835844,0.49071432,0.425256372
Conner,Kavell,ILB,73,760,BAL,29,2016,1584.5697,-824.5697,0.608182486,0.520374522
Ducasse,Vladimir,G,74,760,BAL,29,2016,2111.719059,-1351.719059,0.754097022,0.640103641
Richardson,Trent,RB,72,675,BAL,26,2016,798.7469038,-123.7469038,0.38663636,0.154926302
Rey,Vincent,ILB,75,3500,CIN,29,2016,1802.63015,1697.36985,-1.057365896,-0.941607379
LaFell,Brandon,WR,77,2500,CIN,30,2016,2839.567463,-339.5674634,0.153905864,0.119584221
Sims,Pat,DT,72,1150,CIN,31,2016,1789.1422,-639.1422,0.472035554,0.357233874
Dansby,Karlos,ILB,83,2000,CIN,35,2016,4567.151636,-2567.151636,1.079631574,0.562090301
Thompson,Brandon,DT,67,840,CIN,27,2016,809.3728205,30.62717949,-0.073460492,-0.037840633
GriffinIII,Robert,QB,73,7500,CLE,26,2016,3076.40656,4423.59344,-1.163883535,-1.437909247
Davis,Demario,ILB,76,4000,CLE,27,2016,2001.922108,1998.077892,-1.15240464,-0.998079737
Bailey,Alvin,G,71,2000,CLE,25,2016,1560.285178,439.7148222,-0.292077516,-0.281816958
Paea,Stephen,DE,75,1900,CLE,28,2016,2407.295214,-507.2952143,0.282275355,0.210732448
Hayden,Nick,DT,62,760,CLE,30,2016,581.9223043,178.0776957,-1.352090161,-0.306016275
Tuggle,Justin,ILB,70,700,CLE,26,2016,1253.983143,-553.9831429,0.413230395,0.44177878
Patterson,Eric,CB,61,525,CLE,23,2016,581.9005,-56.9005,0.560703024,0.097783899
Green,Ladarius,TE,81,5000,PIT,26,2016,3622.710296,1377.289704,-0.531587019,-0.380182126
Harris,Ryan,LT,76,1995,PIT,31,2016,4607.289083,-2612.289083,0.668843475,0.566990487
Gradkowski,Bruce,QB,69,965,PIT,33,2016,1757.653606,-792.6536061,0.561112657,0.450972594
Johnson,Steven,ILB,68,840,PIT,28,2016,1082.541765,-242.5417647,0.182420317,0.224048413
Johnson,David,TE,83,760,PIT,29,2016,5163.823529,-4403.823529,1.926665745,0.852822236
Mathews,Ricardo,DT,69,760,PIT,29,2016,1147.051089,-387.0510889,0.385306536,0.33743143
Osweiler,Brock,QB,77,18000,HOU,26,2016,10963.42258,7036.577417,-1.045287138,-0.641823059
Allen,Jeff,G,78,7000,HOU,26,2016,4329.68655,2670.31345,-1.008205546,-0.616745212
Miller,Lamar,RB,88,6500,HOU,25,2016,6529.8569,-29.8569,0.008718736,0.004572367
Bergstrom,Tony,C,69,2875,HOU,30,2016,1098.775375,1776.224625,-2.193294022,-1.616549356
Weeden,Brandon,QB,72,2000,HOU,33,2016,2784.859964,-784.8599643,0.219702777,0.281831034
Allen,Antonio,CB,79,800,HOU,28,2016,4304.688265,-3504.688265,1.019504999,0.814156113
Robinson,Patrick,CB,78,4500,IND,29,2016,3926.5443,573.4557,-0.169192992,-0.146045901
Tolzien,Scott,QB,67,1750,IND,29,2016,1361.991813,388.0081875,-0.397170912,-0.284882907
Ayers,Akeem,OLB,77,2600,IND,27,2016,2505.909667,94.09033333,-0.049030449,-0.037547376
Coffman,Chase,TE,68,760,IND,30,2016,703.4615185,56.53848148,-0.189117728,-0.080371818
Todman,Jordan,RB,70,760,IND,26,2016,666.0919592,93.90804082,-0.590095964,-0.140983598
Turbin,Robert,RB,75,760,IND,27,2016,952.5397391,-192.5397391,0.323749749,0.202133025
Jackson,Malik,DT,86,14250,JAC,26,2016,7524.34225,6725.65775,-1.375852414,-0.893853247
Beachum,Kelvin,LT,82,9000,JAC,26,2016,7377.207769,1622.792231,-0.520540213,-0.219973773
Ivory,Chris,RB,82,6400,JAC,28,2016,2670.665767,3729.334233,-2.00739947,-1.396406199
Lewis,Marcedes,TE,76,4000,JAC,32,2016,1779.057882,2220.942118,-1.861161173,-1.248381033
Bernadeau,Mackenzy,C,74,1500,JAC,30,2016,1498.590375,1.409625,-0.001134152,-0.000940634
Linkenbach,Jeff,RT,72,810,JAC,29,2016,1714.01812,-904.01812,0.658566399,0.527426233
Werner,Bjoern,OLB,74,755,JAC,26,2016,2339.659946,-1584.659946,0.894137116,0.677303532
Omameh,Patrick,G,74,675,JAC,26,2016,2111.719059,-1436.719059,0.801516821,0.680355208
Jones,Ben,C,74,4375,TEN,27,2016,1498.590375,2876.409625,-2.314294083,-1.919410182
Matthews,Rishard,WR,79,5000,TEN,27,2016,3772.199588,1227.800412,-0.406364074,-0.325486598
Woods,Al,DT,74,3500,TEN,29,2016,2007.068811,1492.931189,-1.138491356,-0.743836575
Johnson,Andre,WR,76,1867.5,TEN,35,2016,2494.603356,-627.1033556,0.351317778,0.251383994
Spence,Sean,ILB,72,2500,TEN,26,2016,1562.703649,937.2963514,-0.694127444,-0.599791491
Bell,Byron,RT,70,2250,TEN,27,2016,1338.78216,911.21784,-0.871813692,-0.680631896
Cassel,Matt,QB,70,2000,TEN,34,2016,2055.088,-55.088,0.03247159,0.026805665
Blake,Antwon,CB,75,1500,TEN,26,2016,2830.618075,-1330.618075,0.534049812,0.470080399
Okung,Russell,LT,82,10600,DEN,29,2016,7377.207769,3222.792231,-1.033769402,-0.436858
Stephenson,Donald,LT,72,4666.667,DEN,28,2016,1804.913818,2861.753182,-1.511477955,-1.58553453
Crick,Jared,DE,70,2000,DEN,27,2016,1452.008732,547.9912683,-0.435918635,-0.377402185
Davis,Austin,QB,69,1250,DEN,27,2016,1757.653606,-507.6536061,0.359363613,0.288824604
Norwood,Jordan,WR,70,880,DEN,30,2016,1102.876639,-222.8766393,0.259182446,0.202086645
Graham,Garrett,TE,70,840,DEN,30,2016,900.5308065,-60.53080645,0.12188572,0.067216808
Winn,Billy,DE,67,760,DEN,27,2016,1213.222725,-453.2227255,0.341366243,0.373569268
Watson,Dekoda,OLB,63,760,DEN,28,2016,651.7889697,108.2110303,-0.45188532,-0.166021573
Ross,Brandian,CB,72,675,DEN,27,2016,1507.762689,-832.7626892,0.643249079,0.552316817
Schwartz,Mitchell,RT,86,6600,KC,27,2016,6900.5,-300.5,0.128623972,0.043547569
Johnson,Derrick,ILB,90,7000,KC,34,2016,7902.643,-902.643,0.244862744,0.114220394
