Last Name,First Name,Position,Overall,Salary,Team,Year
Taylor,Tyrod,QB,82.0,18000.0,BUF,2016.0
Dareus,Marcell,DT,88.0,16095.686,BUF,2016.0
Glenn,Cordy,LT,89.0,12000.0,BUF,2016.0
Hughes,Jerry,OLB,88.0,9000.0,BUF,2016.0
McCoy,LeSean,RB,86.0,8000.0,BUF,2016.0
Clay,Charles,TE,84.0,7600.0,BUF,2016.0
Williams,Kyle,DT,82.0,7433.333,BUF,2016.0
Williams,Aaron,S,77.0,6501.961,BUF,2016.0
Wood,Eric,C,81.0,6350.0,BUF,2016.0
Incognito,Richie,G,90.0,5250.0,BUF,2016.0
Watkins,Sammy,WR,87.0,4983.901,BUF,2016.0
Graham,Corey,S,82.0,4075.0,BUF,2016.0
Gilmore,Stephon,CB,85.0,3021.038,BUF,2016.0
Lawson,Shaq,DE,75.0,2569.744,BUF,2016.0
Manuel,E.J.,QB,71.0,2221.325,BUF,2016.0
Robey,Nickell,CB,74.0,2050.0,BUF,2016.0
Easley,Marcus,WR,67.0,1750.0,BUF,2016.0
Mills,Jordan,RT,73.0,1671.0,BUF,2016.0
Bryant,Corbin,DT,71.0,1671.0,BUF,2016.0
Bush,Reggie,RB,74.0,1500.0,BUF,2016.0
Ragland,Reggie,ILB,74.0,1460.343,BUF,2016.0
Hunter,Justin,WR,71.0,1356.037,BUF,2016.0
Brown,Zach,ILB,82.0,1250.0,BUF,2016.0
Woods,Robert,WR,73.0,1216.692,BUF,2016.0
Kouandjio,Cyrus,RT,72.0,1202.205,BUF,2016.0
Darby,Ronald,CB,83.0,1142.423,BUF,2016.0
Sanborn,Garrison,LS,54.0,1111.667,BUF,2016.0
Lewis,Patrick,C,70.0,1100.0,BUF,2016.0
Humber,Ramon,OLB,68.0,885.0,BUF,2016.0
Douzable,Leger,DT,68.0,885.0,BUF,2016.0
Alexander,Lorenzo,OLB,72.0,885.0,BUF,2016.0
White,Corey,CB,71.0,840.0,BUF,2016.0
Blanton,Robert,S,76.0,840.0,BUF,2016.0
Anderson,Colt,S,71.0,840.0,BUF,2016.0
McCray,Lerentee,OLB,71.0,800.0,BUF,2016.0
Washington,Adolphus,DT,70.0,797.324,BUF,2016.0
Tate,Brandon,WR,71.0,760.0,BUF,2016.0
Brown,Preston,ILB,73.0,751.438,BUF,2016.0
Miller,John,G,69.0,740.03,BUF,2016.0
Goodwin,Marquise,WR,68.0,713.469,BUF,2016.0
Jones,Cardale,QB,66.0,680.848,BUF,2016.0
Williams,Jonathan,RB,67.0,645.229,BUF,2016.0
Enemkpali,IK,OLB,66.0,645.0,BUF,2016.0
Listenbee,Kolby,WR,66.0,618.233,BUF,2016.0
Seymour,Kevon,CB,63.0,610.089,BUF,2016.0
Powell,Walter,WR,60.0,600.0,BUF,2016.0
Coleman,DeAndre,DT,62.0,600.0,BUF,2016.0
Roberson,Marcus,CB,70.0,600.0,BUF,2016.0
Gillislee,Mike,RB,70.0,600.0,BUF,2016.0
Worthy,Jerel,DE,67.0,600.0,BUF,2016.0
Dowling,Jonathan,S,66.0,570.0,BUF,2016.0
Annen,Blake,TE,63.0,570.0,BUF,2016.0
Henderson,Seantrel,RT,68.0,567.72,BUF,2016.0
Groy,Ryan,G,64.0,555.0,BUF,2016.0
Gragg,Chris,TE,72.0,554.794,BUF,2016.0
Meeks,Jonathan,S,64.0,550.0,BUF,2016.0
Thomas,Phillip,S,68.0,495.0,BUF,2016.0
O'Leary,Nick,TE,69.0,480.0,BUF,2016.0
Tannehill,Ryan,QB,79.0,19250.0,MIA,2016.0
Suh,Ndamukong,DT,93.0,19062.5,MIA,2016.0
Maxwell,Byron,CB,76.0,10500.0,MIA,2016.0
Albert,Branden,LT,80.0,9400.0,MIA,2016.0
Pouncey,Mike,C,81.0,8950.0,MIA,2016.0
Williams,Mario,DE,81.0,8500.0,MIA,2016.0
Cameron,Jordan,TE,81.0,7500.0,MIA,2016.0
Wake,Cameron,DE,89.0,7500.0,MIA,2016.0
Jones,Reshad,S,93.0,7003.0,MIA,2016.0
Jordan,Dion,DE,68.0,5143.077,MIA,2016.0
Misi,Koa,OLB,85.0,4250.0,MIA,2016.0
Abdul-Quddus,Isa,S,76.0,4250.0,MIA,2016.0
Mitchell,Earl,DT,74.0,4000.0,MIA,2016.0
Tunsil,Laremy,T,78.0,3114.413,MIA,2016.0
Branch,Andre,DE,70.0,2750.0,MIA,2016.0
Parker,DeVante,WR,77.0,2719.136,MIA,2016.0
James,Ja'Wuan,RT,75.0,2107.1,MIA,2016.0
Moore,Matt,QB,69.0,1775.0,MIA,2016.0
Jones,Jason,DE,77.0,1535.0,MIA,2016.0
Howard,Xavien,CB,72.0,1532.01,MIA,2016.0
Bushrod,Jermon,G,81.0,1500.0,MIA,2016.0
Urbik,Kraig,G,72.0,1250.0,MIA,2016.0
Denney,John,LS,48.0,1150.029,MIA,2016.0
Phillips,Jordan,DT,63.0,1090.727,MIA,2016.0
Alonso,Kiko,ILB,76.0,1075.1,MIA,2016.0
Landry,Jarvis,WR,87.0,868.728,MIA,2016.0
Drake,Kenyan,RB,70.0,845.315,MIA,2016.0
Paysinger,Spencer,OLB,70.0,840.0,MIA,2016.0
Carroo,Leonte,WR,70.0,775.097,MIA,2016.0
Harris,Bryce,RT,73.0,760.0,MIA,2016.0
Chekwa,Chimdi,CB,68.0,760.0,MIA,2016.0
Young,Sam,LT,70.0,760.0,MIA,2016.0
Butler,Donald,ILB,73.0,760.0,MIA,2016.0
Thomas,Michael,S,74.0,675.0,MIA,2016.0
Gray,MarQueis,TE,69.0,675.0,MIA,2016.0
Aikens,Walt,S,71.0,658.977,MIA,2016.0
Jenkins,Jelani,OLB,78.0,658.172,MIA,2016.0
Sims,Dion,TE,75.0,656.888,MIA,2016.0
McCain,Bobby,CB,71.0,627.072,MIA,2016.0
Ajayi,Jay,RB,75.0,625.203,MIA,2016.0
Lippett,Tony,CB,65.0,623.691,MIA,2016.0
Grant,Jakeem,WR,66.0,620.095,MIA,2016.0
Lucas,Jordan,S,64.0,614.991,MIA,2016.0
Stills,Kenny,WR,74.0,588.613,MIA,2016.0
Ekpre-Olomu,Ifo,CB,67.0,584.325,MIA,2016.0
Fede,Terrence,DE,66.0,568.988,MIA,2016.0
Vigil,Zach,ILB,59.0,528.333,MIA,2016.0
Hewitt,Neville,OLB,66.0,525.333,MIA,2016.0
Steen,Anthony,G,62.0,525.0,MIA,2016.0
Orr,Leon,DT,60.0,525.0,MIA,2016.0
Williams,Damien,RB,72.0,511.667,MIA,2016.0
Brendel,Jake,C,60.0,495.0,MIA,2016.0
Hull,Mike,ILB,61.0,480.0,MIA,2016.0
Williams,Nick,DE,68.0,465.0,MIA,2016.0
Duarte,Thomas,TE,63.0,450.0,MIA,2016.0
Brady,Tom,QB,94.0,20500.0,NE,2016.0
Solder,Nate,LT,84.0,10031.0,NE,2016.0
McCourty,Devin,S,91.0,9500.0,NE,2016.0
Gronkowski,Rob,TE,99.0,9000.0,NE,2016.0
Cannon,Marcus,LT,74.0,6500.0,NE,2016.0
Sheard,Jabaal,DE,88.0,5500.0,NE,2016.0
Bennett,Martellus,TE,85.0,5100.0,NE,2016.0
Edelman,Julian,WR,89.0,4250.0,NE,2016.0
Vollmer,Sebastian,RT,84.0,4187.5,NE,2016.0
Mingo,Barkevious,OLB,76.0,4086.75,NE,2016.0
Amendola,Danny,WR,83.0,4050.0,NE,2016.0
Hogan,Chris,WR,75.0,4000.0,NE,2016.0
Ninkovich,Rob,DE,82.0,3500.0,NE,2016.0
McClellin,Shea,ILB,77.0,3016.667,NE,2016.0
Chung,Patrick,S,86.0,2733.333,NE,2016.0
Long,Chris,DE,77.0,2375.0,NE,2016.0
Branch,Alan,DT,77.0,2150.0,NE,2016.0
Freeny,Jonathan,ILB,69.0,2040.0,NE,2016.0
Hightower,Dont'a,ILB,90.0,1931.001,NE,2016.0
Brown,Malcolm,DT,66.0,1903.307,NE,2016.0
Slater,Matthew,WR,69.0,1800.0,NE,2016.0
Lewis,Dion,RB,80.0,1300.0,NE,2016.0
VanNoy,Kyle,OLB,72.0,1275.524,NE,2016.0
Rowe,Eric,CB,74.0,1219.966,NE,2016.0
Ebner,Nate,S,65.0,1200.0,NE,2016.0
Waddle,LaAdrian,RT,70.0,1200.0,NE,2016.0
Bolden,Brandon,RB,72.0,1160.0,NE,2016.0
Jones,Cyrus,CB,71.0,1001.676,NE,2016.0
Blount,LeGarrette,RB,81.0,1000.0,NE,2016.0
Richards,Jordan,S,69.0,927.887,NE,2016.0
Garoppolo,Jimmy,QB,72.0,870.975,NE,2016.0
Brissett,Jacoby,QB,70.0,852.708,NE,2016.0
Thuney,Joe,T,70.0,803.357,NE,2016.0
Valentine,Vincent,DT,67.0,757.605,NE,2016.0
Mitchell,Malcolm,WR,67.0,729.498,NE,2016.0
Flowers,Trey,DE,68.0,709.733,NE,2016.0
Jackson,Tre',G,71.0,700.935,NE,2016.0
Ryan,Logan,CB,84.0,693.313,NE,2016.0
Mason,Shaq,G,74.0,680.881,NE,2016.0
Harmon,Duron,S,75.0,677.775,NE,2016.0
Scruggs,Greg,DE,60.0,667.5,NE,2016.0
White,James,RB,75.0,654.272,NE,2016.0
Cardona,Joe,LS,40.0,620.0,NE,2016.0
Karras,Ted,G,66.0,610.089,NE,2016.0
Roberts,Elandon,ILB,65.0,610.089,NE,2016.0
Fleming,Cameron,G,69.0,600.0,NE,2016.0
Kilgo,Darius,DT,61.0,597.889,NE,2016.0
Jones,Jonathan,CB,62.0,540.0,NE,2016.0
Andrews,David,C,71.0,530.0,NE,2016.0
Coleman,Justin,CB,67.0,525.0,NE,2016.0
Butler,Malcolm,CB,85.0,510.0,NE,2016.0
Williams,Michael,TE,71.0,480.0,NE,2016.0
Wilkerson,Muhammad,DE,89.0,17200.0,NYJ,2016.0
Revis,Darrelle,CB,91.0,14024.212,NYJ,2016.0
Fitzpatrick,Ryan,QB,79.0,12000.0,NYJ,2016.0
Marshall,Brandon,WR,89.0,8666.667,NYJ,2016.0
Mangold,Nick,C,83.0,7725.0,NYJ,2016.0
Decker,Eric,WR,87.0,7250.0,NYJ,2016.0
Harris,David,ILB,81.0,7166.667,NYJ,2016.0
Skrine,Buster,CB,75.0,6250.0,NYJ,2016.0
Clady,Ryan,LT,84.0,6000.0,NYJ,2016.0
Gilchrist,Marcus,S,82.0,5500.0,NYJ,2016.0
Carpenter,James,G,79.0,4775.0,NYJ,2016.0
Williams,Leonard,DT,81.0,4657.717,NYJ,2016.0
Giacomini,Breno,RT,69.0,4500.0,NYJ,2016.0
Forte,Matt,RB,86.0,4000.0,NYJ,2016.0
Powell,Bilal,RB,78.0,3750.0,NYJ,2016.0
McLendon,Steve,DT,78.0,3500.0,NYJ,2016.0
Lee,Darron,ILB,73.0,2555.412,NYJ,2016.0
Richardson,Sheldon,DE,86.0,2513.5,NYJ,2016.0
Pryor,Calvin,S,83.0,2140.813,NYJ,2016.0
Henderson,Erin,ILB,75.0,2000.0,NYJ,2016.0
Smith,Devin,WR,70.0,1468.105,NYJ,2016.0
Seferian-Jenkins,Austin,TE,78.0,1313.73,NYJ,2016.0
Smith,Geno,QB,73.0,1254.901,NYJ,2016.0
Hackenberg,Christian,QB,67.0,1165.076,NYJ,2016.0
Davis,Kellen,TE,69.0,965.0,NYJ,2016.0
Purdum,Tanner,LS,46.0,905.0,NYJ,2016.0
Spiller,C.J.,RB,78.0,885.0,NYJ,2016.0
Carter,Bruce,ILB,73.0,840.0,NYJ,2016.0
Jenkins,Jordan,OLB,69.0,780.98,NYJ,2016.0
Mauldin,Lorenzo,OLB,70.0,752.005,NYJ,2016.0
Winters,Brian,G,70.0,725.969,NYJ,2016.0
Burris,Juston,CB,68.0,722.783,NYJ,2016.0
Petty,Bryce,QB,65.0,708.424,NYJ,2016.0
Stanford,Julian,OLB,69.0,675.0,NYJ,2016.0
Ross,Jeremy,WR,66.0,675.0,NYJ,2016.0
Allen,Antonio,CB,79.0,675.0,NYJ,2016.0
Shell,Brandon,T,66.0,643.992,NYJ,2016.0
Dozier,Dakota,G,67.0,630.146,NYJ,2016.0
Martin,Josh,OLB,67.0,630.0,NYJ,2016.0
Peake,Charone,WR,65.0,602.096,NYJ,2016.0
McDougle,Dexter,CB,68.0,600.0,NYJ,2016.0
Bostick,Brandon,TE,69.0,600.0,NYJ,2016.0
Roberts,Darryl,CB,64.0,583.556,NYJ,2016.0
Simon,Deon,DT,58.0,570.0,NYJ,2016.0
Catapano,Mike,DE,65.0,555.0,NYJ,2016.0
Johnson,Wesley,C,70.0,555.0,NYJ,2016.0
Anderson,Robby,WR,63.0,540.0,NYJ,2016.0
Enunwa,Quincy,WR,63.0,525.0,NYJ,2016.0
Qvale,Brent,RT,63.0,525.0,NYJ,2016.0
Marshall,Nick,CB,62.0,525.0,NYJ,2016.0
Williams,Marcus,CB,74.0,510.667,NYJ,2016.0
Miles,Rontez,S,73.0,510.0,NYJ,2016.0
Davis,Titus,WR,65.0,495.0,NYJ,2016.0
Tomlinson,Eric,TE,64.0,495.0,NYJ,2016.0
Flacco,Joe,QB,81.0,22133.333,BAL,2016.0
Smith,Jimmy,CB,81.0,10275.5,BAL,2016.0
Yanda,Marshal,G,97.0,7979.412,BAL,2016.0
Weddle,Eric,S,92.0,6500.0,BAL,2016.0
Pitta,Dennis,TE,81.0,6400.0,BAL,2016.0
Wallace,Mike,WR,77.0,5750.0,BAL,2016.0
Webb,Lardarius,CB,79.0,5416.667,BAL,2016.0
Dumervil,Elvis,OLB,87.0,5200.0,BAL,2016.0
Suggs,Terrell,OLB,90.0,5175.0,BAL,2016.0
Stanley,Ronnie,T,79.0,5121.083,BAL,2016.0
Wright,Shareece,CB,72.0,4333.333,BAL,2016.0
Zuttah,Jeremy,C,81.0,4083.333,BAL,2016.0
