Last Name,First Name,Position,Average Salary,Team
Williams,Kyle,DT,7287500,BUF
Kelsay,Chris,DE,7050000,BUF
McGee,Terrence,CB,5400000,BUF
Merriman,Shawne,LB,5250000,BUF
Spiller,C.J.,RB,5134417,BUF
Dareus,Marcell,DT,5101825,BUF
Florence,Drayton,CB,5000000,BUF
Edwards,Dwan,DT,4500000,BUF
Parrish,Roscoe,WR,4103333,BUF
McKelvin,Leodis,CB,3880000,BUF
Barnett,Nick,ILB,3833333,BUF
Smith,Brad,WR,3687500,BUF
Johnson,Spencer,DT,3500000,BUF
Pears,Erik,G,3100000,BUF
Thigpen,Tyler,QB,3000000,BUF
Wilson,George,S,2950000,BUF
Fitzpatrick,Ryan,QB,2750000,BUF
Davis,Andra,LB,2200000,BUF
Lindell,Rian,K,1930000,BUF
Jackson,Fred,RB,1875000,BUF
Wood,Eric,C,1867000,BUF
Torbor,Reggie,LB,1850000,BUF
Moorman,Brian,P,1791667,BUF
Scott,Bryan,OLB,1625000,BUF
Williams,Aaron,S,1314787,BUF
McIntyre,Corey,FB,1250250,BUF
Chandler,Scott,TE,1200000,BUF
Troup,Torell,DT,1152500,BUF
Morrison,Kirk,LB,1100000,BUF
Byrd,Jairus,S,1037500,BUF
Levitre,Andy,G,890000,BUF
Carrington,Alex,DE,701000,BUF
Searcy,Da'Norris,S,631106,BUF
Dotson,Lionel,DE,627500,BUF
Moats,Arthur,OLB,618750,BUF
Hairston,Chris,LT,613977,BUF
Urbik,Kraig,G,593333,BUF
Rinehart,Chad,G,579088,BUF
Easley,Marcus,WR,577375,BUF
White,Johnny,RB,563400,BUF
Nelson,Shawn,TE,552500,BUF
Corner,Reggie,CB,542500,BUF
White,Chris,ILB,540150,BUF
Choice,Tashard,RB,536000,BUF
Moore,Kyle,DE,532500,BUF
Rogers,Justin,CB,526875,BUF
Young,Sam,RT,512625,BUF
Sheppard,Kelvin,ILB,511842,BUF
Sanborn,Garrison,LS,480000,BUF
Onobun,Fendi,TE,479750,BUF
Batten,Dan,DE,472917,BUF
Caussin,Mike,TE,472500,BUF
Roosevelt,Naaman,WR,472500,BUF
Brock,Kevin,TE,465000,BUF
Aiken,Kamar,WR,465000,BUF
Brown,Levi,QB,464750,BUF
Bell,Demetress,RT,440400,BUF
Jasper,Michael,G,440000,BUF
Johnson,Stevie,WR,439758,BUF
Jones,Donald,WR,408333,BUF
Nelson,David,WR,405000,BUF
Heard,Kellen,DE,405000,BUF
Howard,Cordaro,G,405000,BUF
Soliai,Paul,DT,12476000,MIA
Long,Jake,LT,11550000,MIA
Marshall,Brandon,WR,8955800,MIA
Dansby,Karlos,ILB,8420000,MIA
Allen,Will,S,6100000,MIA
Burnett,Kevin,OLB,5250000,MIA
Bell,Yeremiah,S,5000000,MIA
Bush,Reggie,RB,4875000,MIA
Crowder,Channing,LB,4600000,MIA
Incognito,Richie,G,4300000,MIA
Starks,Randy,DT,4010000,MIA
McDaniel,Tony,DT,3000000,MIA
Fasano,Anthony,TE,2925333,MIA
Dobbins,Tim,ILB,2633333,MIA
Odrick,Jared,DT,2614388,MIA
Moore,Matt,QB,2512500,MIA
Carey,Vernon,T,2500000,MIA
Pouncey,Mike,C,2314924,MIA
Bess,Davone,WR,2257500,MIA
Davis,Vontae,CB,2250000,MIA
Allen,Jason,CB,2097696,MIA
Carpenter,Dan,K,2000000,MIA
Merling,Phillip,DE,1863750,MIA
Garner,Nate,RT,1325000,MIA
Misi,Koa,ILB,1166226,MIA
Culver,Tyrone,S,1075000,MIA
Fields,Brandon,P,1030000,MIA
Trusnik,Jason,ILB,1000000,MIA
Olshansky,Igor,DE,910000,MIA
Losman,J.P.,QB,810000,MIA
Johnson,Larry,RB,810000,MIA
Thomas,Daniel,RB,809097,MIA
Henne,Chad,QB,782525,MIA
Smith,Sean,CB,779000,MIA
Denney,John,LS,757500,MIA
Fields,Ronald,DT,735000,MIA
Mitchell,Marvin,OLB,685000,MIA
Jerry,John,G,662125,MIA
Wake,Cameron,DE,650000,MIA
Langford,Kendall,DT,641250,MIA
Alama-Francis,Ikaika,DE,640000,MIA
Gates,Clyde,WR,634750,MIA
Slaton,Steve,RB,592347,MIA
Hartline,Brian,WR,563744,MIA
Clay,Charles,TE,538000,MIA
Hilliard,Lex,RB,525000,MIA
Wilson,Jimmy,S,521475,MIA
Carroll,Nolan,CB,496875,MIA
Jones,Reshad,S,487575,MIA
Clemons,Chris,S,478125,MIA
Yeatman,Will,LT,467333,MIA
Spitler,Austin,ILB,456619,MIA
Devlin,Pat,QB,420000,MIA
Murtha,Lydon,T,408500,MIA
Moore,Marlon,WR,406667,MIA
Ness,Nate,S,405000,MIA
Wallace,Roberto,WR,405000,MIA
Epps,Dedrick,TE,405000,MIA
Feinga,Ray,G,405000,MIA
Kopa,Matt,G,405000,MIA
Baker,Ryan,DT,395000,MIA
Mastrud,Jeron,TE,385000,MIA
Pruitt,Julius,WR,355000,MIA
Brady,Tom,QB,15700000,NE
Mankins,Logan,G,8500000,NE
Koutouvides,Niko,ILB,8100000,NE
Wilfork,Vince,DT,8000000,NE
Mayo,Jerod,ILB,7121429,NE
Light,Matt,T,6200000,NE
Cohen,Landon,DT,6000000,NE
Waters,Brian,G,5600000,NE
Haynesworth,Albert,DT,4350000,NE
Ellis,Shaun,DE,4000000,NE
Johnson,Chad,WR,3983333,NE
Branch,Deion,WR,3835000,NE
